Run Name : Karym_202111031200_obs2                                                                  
Location : Karym                                                                                    
Start Time : 03/11/2021 00:00 UTC                                                                   
Number of heights : 6                                                                               
Number of times per day : 12                                                                        
Number of days : 1                                                                                  
Base height : 1486.0                                                                                
Height change : 4000.0                                                                              
time , bestval_001 , bestval_002 , bestval_003 , bestval_004 , bestval_005 , bestval_006 , min_val_001 , min_val_002 , min_val_003 , min_val_004 , min_val_005 , min_val_006 , max_val_001 , max_val_002 , max_val_003 , max_val_004 , max_val_005 , max_val_006 , mean_001 , mean_002 , mean_003 , mean_004 , mean_005 , mean_006 , median_001 , median_002 , median_003 , median_004 , median_005 , median_006                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
T01_D01   ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000
T02_D01   ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000
T03_D01   ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000
T04_D01   ,        7923580.30002 ,        7681191.87580 ,        2237754.22392 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,       18747373.24238 ,       17970366.61906 ,        7672422.59431 ,              0.00000 ,              0.00000 ,              0.00000 ,        7923580.30002 ,        7681191.87580 ,        2237754.22392 ,              0.00000 ,              0.00000 ,              0.00000 ,        7923580.30002 ,        7681191.87580 ,        2237754.22392 ,              0.00000 ,              0.00000 ,              0.00000
T05_D01   ,       23970495.02526 ,       23237219.12007 ,        6769676.64379 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,       55436478.98353 ,       53304873.61239 ,       22427029.11864 ,              0.00000 ,              0.00000 ,              0.00000 ,       23970495.02526 ,       23237219.12007 ,        6769676.64379 ,              0.00000 ,              0.00000 ,              0.00000 ,       23970495.02526 ,       23237219.12007 ,        6769676.64379 ,              0.00000 ,              0.00000 ,              0.00000
T06_D01   ,       23970495.02526 ,       23237219.12007 ,        6769676.64379 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,       55436478.98353 ,       53304873.61239 ,       22427029.11864 ,              0.00000 ,              0.00000 ,              0.00000 ,       23970495.02526 ,       23237219.12007 ,        6769676.64379 ,              0.00000 ,              0.00000 ,              0.00000 ,       23970495.02526 ,       23237219.12007 ,        6769676.64379 ,              0.00000 ,              0.00000 ,              0.00000
T07_D01   ,       11985247.51263 ,       11618609.56004 ,        3384838.32190 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,       28185336.99304 ,       27040470.30152 ,       11499570.03119 ,              0.00000 ,              0.00000 ,              0.00000 ,       11985247.51263 ,       11618609.56004 ,        3384838.32190 ,              0.00000 ,              0.00000 ,              0.00000 ,       11985247.51263 ,       11618609.56004 ,        3384838.32190 ,              0.00000 ,              0.00000 ,              0.00000
T08_D01   ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000
T09_D01   ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000
T010_D01  ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000 ,              0.00000
